company_name,quote_id,qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
ANA,18405.0,3.0,14.0,592.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,11.5,287.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,14.0,592.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,14.0,592.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,11.5,287.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,1.0,17.0,870.0,390.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,6.0,12.9,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18408.0,2.0,18.25,870.0,390.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18455.0,20.0,11.5,800.0,445.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18455.0,20.0,11.5,800.0,445.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18469.0,18.0,12.99,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18469.0,9.0,9.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18469.0,18.0,12.99,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18469.0,9.0,9.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18470.0,18.0,12.99,490.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18470.0,18.0,12.99,490.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18471.0,2.0,12.5,585.0,525.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,18471.0,2.0,12.5,585.0,525.0,100.0,0,0,0,0,0,1,0,0,0,0
ANA,18512.0,4.0,14.5,650.0,630.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18512.0,4.0,14.5,650.0,630.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18518.0,48.0,22.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18518.0,48.0,21.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18518.0,48.0,22.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18518.0,48.0,21.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18523.0,18.0,7.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18523.0,4.0,12.5,1665.0,420.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18523.0,18.0,7.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18523.0,4.0,12.5,1665.0,420.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18525.0,4.0,21.5,440.0,515.0,25.0,1,0,0,0,0,0,0,0,0,0
